ID	Gold	Text
song3-18	joy	Get fresh batteries if it won't rewind
song3-19	joy	Cos I play everyday, even on the subway
song3-20	trust	I woulda got a summons but I ran away
song3-21	trust	I'm the leader of the show, keepin' you on the go
song3-22	trust	But I know I can't live without my radio
song3-23	trust	Suckas on my jock when I walk down the block
song3-24	trust	I really don't care if you're jealous or not
song3-25	trust	Cos I make the songs, you sing along
song3-26	trust	And your radio's def when my record's on
song3-27	joy	So get off the wall, become involved
song3-28	trust	All your radio problems have now been solved
song3-29	trust	My treacherous beats make ya ears respond
song3-30	trust	And my radio's loud like a fire alarm
song3-31	disgust	The floor vibrates, the walls cave in
song3-32	disgust	The bass makes my eardrums seem thin
song3-33	joy	Def sounds in my ride, yes the front and back
song3-34	joy	You would think it was a party, not a Cadillac
song3-35	trust	Cos I drive up to the ave, with the windows closed
song3-36	trust	And my bass is so loud, it could rip your clothes
song3-37	joy	My stereo's thumpin' like a savage beast
song3-38	trust	The level on my power meter will not decrease
song3-39	trust	Suckas get mad, cos the girlies scream
song3-40	trust	And I'm still gettin' paid while you look at me mean
song3-41	trust	I'm the leader of the show, keepin' you on the go
song3-42	trust	But I know I can't live without my radio
song3-43	trust	I'm the leader of the show, keepin' you on the go
song3-44	trust	And I know I can't live without my radio
song3-45	anger	Don't touch that dial, I'll be upset
song3-46	anger	Might go into a fit and rip off your neck
song3-47	anger	Cos the radio's thumpin' when I'm down to play
song3-48	trust	I'm the royal chief rocker LL Cool J
song3-49	joy	Let your big butt bounce from right to left
song3-50	trust	Cos it's a actual fact this jam is def
song3-51	trust	Most definitely created by me
song3-52	trust	Goin' down in radio history
song3-53	trust	I'm good to go on your radio
song3-54	trust	And I'm cold gettin' paid cos Rick said so
song3-55	joy	Make the woofers wallop and your tweeters twitch
song3-56	disgust	Some jealous knuckleheads might try to dis
song3-57	trust	But it's nuthin', ya frontin', ya girl I am stuntin'
song3-58	trust	And my radio's loud enough to keep you gruntin'
song3-59	trust	My name is Cool J, I'm from the rock
song3-60	trust	Circulating through your radio non-stop
song3-61	trust	I'm lookin' at the wires behind the cassette
song3-62	trust	And now I'm on the right, standing on the eject
song3-63	trust	Wearin' light blue Pumas, a whole lotta gold
song3-64	trust	And jams like these keep me in control
song3-65	trust	I'm the leader of the show, keepin' you on the go
song3-66	trust	And I know I can't live without my radio
song3-67	joy	Your energy level starts to increase
song3-68	joy	As my big beat is slowly released
song3-69	joy	I'm on the radio and at the jam
song3-70	joy	LL Cool J is who I am
song3-71	joy	Imma make ya dance, boogie down and rock
song3-72	joy	And you'll scratch and shake to my musical plot
song3-73	trust	And to expand my musical plan
song3-74	trust	Cut Creator, rock the beat with your hands
song3-75	trust	That's right, so don't try to front the move
song3-76	joy	As you become motivated by the funky groove
song3-77	joy	You can see me and Earl chillin' on the block
song3-78	joy	With my box cold kickin' with the gangster rock
song3-79	trust	See people can't stop me, neither can the police
song3-80	trust	I'm a musical maniac to say the least
song3-81	trust	For you and your radio I made this for
song3-82	trust	Cool J's here to devastate once more
song3-83	trust	Pullin' all the girls, takin' out MCs
song3-84	trust	If ya try to disrespect me, I just say Please!
song3-85	trust	Here to command the hip-hop land
song3-86	trust	Kick it live with a box inside my hand
song3-87	trust	I'm the leader of the show, keepin' you on the go
song3-88	trust	But I know I can't live without my radio
song3-89	joy	Farmers Boulevard, yeah, you know that's where me and E hang out, cool
song3-90	joy	out, you know what I'm sayin' That's where the crib's at.
song4-01	sadness	We're talking away
song4-02	sadness	I don't know what
song4-03	sadness	I'm to say I'll say it anyway
song4-04	sadness	Today's another day to find you
song4-05	sadness	Shying away
song4-06	anticipation	I'll be coming for your love, OK
song4-07	anticipation	Take on me, take me on
song4-08	anticipation	I'll be gone
song4-09	anticipation	In a day or two
song4-10	sadness	So needless to say
song4-11	sadness	I'm odds and ends
song4-12	sadness	But that's me stumbling away
song4-13	sadness	Slowly learning that life is OK.
song4-14	sadness	Say after me
song4-15	sadness	It's no better to be safe than sorry
song4-16	anticipation	Take on me, take me on
song4-17	anticipation	I'll be gone
song4-18	anticipation	In a day or two
song4-19	anticipation	Oh the things that you say
song4-20	anticipation	Is it life or
song4-21	sadness	Just a play my worries away
song4-22	sadness	You're all the things I've got to
song4-23	sadness	remember
song4-24	sadness	You're shying away
song4-25	anticipation	I'll be coming for you anyway
song4-26	anticipation	Take on me, take me on
song4-27	anticipation	I'll be gone
song4-28	anticipation	In a day or two
song5-01	sadness	I got my head checked
song5-02	sadness	By a jumbo jet
song5-03	sadness	It wasn't easy
song5-04	sadness	But nothing is, no
song5-05	joy	Whoo hoo!
song5-06	joy	Well I feel heavy metal
song5-07	joy	Whoo hoo!
song5-08	joy	And I'm pins and I'm needles
song5-09	joy	Whoo hoo!
song5-10	disgust	Well I lie and I'm easy
song5-11	disgust	All of the time and I'm never sure why I need you
song5-12	joy	Pleased to meet ya
song5-13	sadness	I got my head done
song5-14	sadness	When I was young
song5-15	sadness	It's not my problem
song5-16	sadness	It's not my problem
song5-17	joy	Whoo hoo!
song5-18	joy	Well I feel heavy metal
song5-19	joy	Whoo hoo!
song5-20	joy	And I'm pins and I'm needles
song5-21	joy	Whoo hoo!
song5-22	disgust	Well I lie and I'm easy
song5-23	disgust	All of the time and I'm never sure why I need you
song5-24	joy	Pleased to meet ya
song5-25	joy	Yeah, yeah
song5-26	joy	Yeah, yeah
song5-27	joy	Yeah, yeah
song5-28	joy	Oh, yeah
song6-01	joy	Back in black
song6-02	joy	I hit the sack
song6-03	joy	I've been too long I'm glad to be back
song6-04	joy	Yes I'm, let loose
song6-05	joy	From the noose
song6-06	joy	That's kept me hanging about
song6-07	joy	I keep looking at the sky
song6-08	joy	Cause it's gettin' me high
song6-09	trust	Forget the herse 'cause I'll never die
song6-10	trust	I got nine lives
song6-11	trust	Cat's eyes
song6-12	joy	Usin' every one of them and running wild
song6-13	joy	Cause I'm back
song6-14	joy	Yes, I'm back
song6-15	joy	Well, I'm back
song6-16	joy	Yes, I'm back
song6-17	joy	Well, I'm back, back
song6-18	joy	(Well) I'm back in black
song6-19	joy	Yes, I'm back in black
song6-20	joy	Back in the back
song6-21	joy	Of a Cadillac
song6-22	trust	Number one with a bullet, I'm a power pack
song6-23	joy	Yes, I'm in a bang
song6-24	joy	With a gang
song6-25	trust	They've got to catch me if they want me to hang
song6-26	trust	Cause I'm back on the track
song6-27	trust	And I'm leadin' the pack
song6-28	trust	Nobody's gonna get me on another rap
song6-29	trust	So look at me now
song6-30	trust	I'm just makin' my play
song6-31	trust	Don't try to push your luck, just get out of my way
song6-32	joy	Cause I'm back
song6-33	joy	Yes, I'm back
song6-34	joy	Well, I'm back
song6-35	joy	Yes, I'm back
song6-36	joy	Well, I'm back, back
song6-37	joy	(Well) I'm back in black
song6-38	joy	Yes, I'm back in black
song6-39	joy	Well, I'm back, Yes I'm back
song6-40	joy	Well, I'm back, Yes I'm back
song6-41	joy	Well, I'm back, back
song6-42	joy	Well I'm back in black
song6-43	joy	Yes I'm back in black
song6-44	joy	Hooo yeah
song6-45	joy	Ohh yeah
song6-46	joy	Yes I am
song6-47	joy	Oooh yeah, yeah Oh yeah
song6-48	joy	Back in now
song6-49	joy	Well I'm back, I'm back
song6-50	joy	Back, I'm back
song6-51	joy	Back, I'm back
song6-52	joy	Back, I'm back
song6-53	joy	Back, I'm back
song6-54	joy	Back
song6-55	joy	Back in black
song6-56	joy	Yes I'm back in black
song6-57	joy	Outta sight
song7-01	surprise	She Was More Like A Beauty Queen From A Movie Scene
song7-02	surprise	I Said Don't Mind, But What Do You Mean I Am The One
song7-03	surprise	Who Will Dance On The Floor In The Round
song7-04	surprise	She Said I Am The One Who Will Dance On The Floor In The Round
song7-05	surprise	She Told Me Her Name Was Billie Jean, As She Caused A Scene
song7-06	surprirse	Then Every Head Turned With Eyes That Dreamed Of Being The One
song7-07	surprise	Who Will Dance On The Floor In The Round
song7-08	fear	People Always Told Me Be Careful Of What You Do
song7-09	fear	And Don't Go Around Breaking Young Girls' Hearts
song7-10	fear	And Mother Always Told Me Be Careful Of Who You Love
song7-11	fear	And Be Careful Of What You Do 'Cause The Lie Becomes The Truth
song7-12	anger	Billie Jean Is Not My Lover
song7-13	anger	She's Just A Girl Who Claims That I Am The One
song7-14	anger	But The Kid Is Not My Son
song7-15	anger	She Says I Am The One, But The Kid Is Not My Son
song7-16	anger	For Forty Days And Forty Nights
song7-17	anger	The Law Was On Her Side
song7-18	anger	But Who Can Stand When She's In Demand
song7-19	anger	Her Schemes And Plans
song7-20	joy	Cause We Danced On The Floor In The Round
song7-21	fear	So Take My Strong Advice, Just Remember To Always Think Twice
song7-22	fear	(Do Think Twice)
song7-23	fear	She Told My Baby That's A Threat
song7-24	fear	As She Looked At Me
song7-25	fear	Then Showed A Photo Of A Baby Cries
song7-26	surprise	Eyes Would Like Mine
song7-27	surprise	Go On Dance On The Floor In The Round, Baby
song7-28	fear	People Always Told Me Be Careful Of What You Do
song7-29	fear	And Don't Go Around Breaking Young Girls' Hearts
song7-30	joy	She Came And Stood Right By Me
song7-31	joy	Then The Smell Of Sweet Perfume
song7-32	surprise	This Happened Much Too Soon
song7-33	surprise	She Called Me To Her Room
song7-34	anger	Billie Jean Is Not My Lover
song7-35	anger	She's Just A Girl Who Claims That I Am The One
song7-36	anger	But The Kid Is Not My Son
song7-37	anger	Billie Jean Is Not My Lover
song7-38	anger	She's Just A Girl Who Claims That I Am The One
song7-39	anger	But The Kid Is Not My Son
song7-40	anger	She Says I Am The One, But The Kid Is Not My Son
song7-41	anger	She Says I Am The One, But The Kid Is Not My Son
song7-42	anger	Billie Jean Is Not My Lover
song7-43	anger	She's Just A Girl Who Claims That I Am The One
song7-44	anger	But The Kid Is Not My Son
song7-45	anger	She Says I Am The One, But The Kid Is Not My Son
song7-46	anger	She Says I Am The One, She Says He Is My Son
song7-47	anger	She Says I Am The One
song7-48	anger	Billie Jean Is Not My Lover
song7-49	anger	Billie Jean Is Not My Lover
song7-50	anger	Billie Jean Is Not My Lover
song7-51	anger	Billie Jean Is Not My Lover
song7-52	anger	Billie Jean Is Not My Lover
song7-53	anger	Billie Jean Is Not My Lover
song8-01	NULL	Aah
song8-02	disgust	Buddy you're a boy make a big noise
song8-03	disgust	Playin' in the street gonna be a big man some day
song8-04	disgust	You got mud on yo' face
song8-05	disgust	You big disgrace
song8-06	disgust	Kickin' your can all over the place
song8-07	joy	Singin'
song8-08	joy	We will we will rock you
song8-09	joy	We will we will rock you
song8-10	disgust	Buddy you're a young man hard man
song8-11	disgust	Shouting in the street gonna take on the world some day
song8-12	disgust	You got blood on yo' face
song8-13	disgust	You big disgrace
song8-14	disgust	Wavin' your banner all over the place
song8-15	joy	We will we will rock you
song8-16	joy	Sing it
song8-17	joy	We will we will rock you
song8-18	disgust	Buddy you're an old man poor man
song8-19	disgust	Pleadin' with your eyes gonna make
song8-20	disgust	You some peace some day
song8-21	disgust	You got mud on your face
song8-22	disgust	Big disgrace
song8-23	disgust	Somebody betta put you back into your place
song8-24	joy	We will we will rock you
song8-25	joy	Sing it
song8-26	joy	We will we will rock you
song8-27	NULL	Everybody
song8-28	joy	We will we will rock you
song8-29	joy	We will we will rock you
song8-30	NULL	Alright
song9-01	joy	She's got a smile that it seems to me
song9-02	joy	Reminds me of childhood memories
song9-03	joy	Where everything
song9-04	joy	Was as fresh as the bright blue sky
song9-05	joy	Now and then when I see her face
song9-06	joy	She takes me away to that
song9-07	joy	special place
song9-08	sadness	And if I stared too long
song9-09	sadness	I'd probably break down and cry
song9-10	joy	Sweet child o' mine
song9-11	joy	Sweet love of mine
song9-12	joy	She's got eyes of the bluest skies
song9-13	sadness	As if they thought of rain
song9-14	sadness	I hate to look into those eyes
song9-15	sadness	And see an ounce of pain
song9-16	joy	Her hair reminds me
song9-17	joy	of a warm safe place
song9-18	sadness	Where as a child I'd hide
song9-19	sadness	And pray for the thunder
song9-20	sadness	And the rain
song9-21	sadness	To quietly pass me by
song9-22	joy	Sweet child o' mine
song9-23	joy	Sweet love of mine
song9-24	anticipation	Where do we go
song9-25	anticipation	Where do we go now
song9-26	anticipation	Where do we go
song9-27	joy	Sweet child o' mine
song10-01	NULL	YOU
song10-02	NULL	YOU HAVE
song10-03	NULL	YOU GOT ME
song10-04	NULL	YOU ASKED ME
song10-05	disgust	YOU ASKED ME AND I DID NOT SAY ANYTHING
song10-06	disgust	WILL YOU UNTIL DEATH DO YOU PART
song10-07	disgust	BE FAITHFUL TO HER FOR ALL DAYS
song10-08	disgust	NO
song10-09	disgust	DO YOU WANT, UNTIL DEATH SEPARATES YOU
song10-10	disgust	THEY LOVE EVEN IN BAD DAYS
song10-11	disgust	NO
