ID	Gold	Text
song3-19	positive	Cos I play everyday, even on the subway
song3-20	positive	I woulda got a summons but I ran away
song3-21	positive	I'm the leader of the show, keepin' you on the go
song3-22	positive	But I know I can't live without my radio
song3-23	positive	Suckas on my jock when I walk down the block
song3-24	positive	I really don't care if you're jealous or not
song3-25	positive	Cos I make the songs, you sing along
song3-26	positive	And your radio's def when my record's on
song3-27	positive	So get off the wall, become involved
song3-28	positive	All your radio problems have now been solved
song3-29	positive	My treacherous beats make ya ears respond
song3-30	positive	And my radio's loud like a fire alarm
song3-31	negative	The floor vibrates, the walls cave in
song3-32	negative	The bass makes my eardrums seem thin
song3-33	positive	Def sounds in my ride, yes the front and back
song3-34	positive	You would think it was a party, not a Cadillac
song3-35	positive	Cos I drive up to the ave, with the windows closed
song3-36	positive	And my bass is so loud, it could rip your clothes
song3-37	positive	My stereo's thumpin' like a savage beast
song3-38	positive	The level on my power meter will not decrease
song3-39	positive	Suckas get mad, cos the girlies scream
song3-40	positive	And I'm still gettin' paid while you look at me mean
song3-41	positive	I'm the leader of the show, keepin' you on the go
song3-42	positive	But I know I can't live without my radio
song3-43	positive	I'm the leader of the show, keepin' you on the go
song3-44	positive	And I know I can't live without my radio
song3-45	negative	Don't touch that dial, I'll be upset
song3-46	negative	Might go into a fit and rip off your neck
song3-47	negative	Cos the radio's thumpin' when I'm down to play
song3-48	positive	I'm the royal chief rocker LL Cool J
song3-49	positive	Let your big butt bounce from right to left
song3-50	positive	Cos it's a actual fact this jam is def
song3-51	positive	Most definitely created by me
song3-52	positive	Goin' down in radio history
song3-53	positive	I'm good to go on your radio
song3-54	positive	And I'm cold gettin' paid cos Rick said so
song3-55	positive	Make the woofers wallop and your tweeters twitch
song3-56	negative	Some jealous knuckleheads might try to dis
song3-57	positive	But it's nuthin', ya frontin', ya girl I am stuntin'
song3-58	positive	And my radio's loud enough to keep you gruntin'
song3-59	positive	My name is Cool J, I'm from the rock
song3-60	positive	Circulating through your radio non-stop
song3-61	positive	I'm lookin' at the wires behind the cassette
song3-62	positive	And now I'm on the right, standing on the eject
song3-63	positive	Wearin' light blue Pumas, a whole lotta gold
song3-64	positive	And jams like these keep me in control
song3-65	positive	I'm the leader of the show, keepin' you on the go
song3-66	positive	And I know I can't live without my radio
song3-67	positive	Your energy level starts to increase
song3-68	positive	As my big beat is slowly released
song3-69	positive	I'm on the radio and at the jam
song3-70	positive	LL Cool J is who I am
song3-71	positive	Imma make ya dance, boogie down and rock
song3-72	positive	And you'll scratch and shake to my musical plot
song3-73	positive	And to expand my musical plan
song3-74	positive	Cut Creator, rock the beat with your hands
song3-75	positive	That's right, so don't try to front the move
song3-76	positive	As you become motivated by the funky groove
song3-77	positive	You can see me and Earl chillin' on the block
song3-78	positive	With my box cold kickin' with the gangster rock
song3-79	positive	See people can't stop me, neither can the police
song3-80	positive	I'm a musical maniac to say the least
song3-81	positive	For you and your radio I made this for
song3-82	positive	Cool J's here to devastate once more
song3-83	positive	Pullin' all the girls, takin' out MCs
song3-84	positive	If ya try to disrespect me, I just say Please!
song3-85	positive	Here to command the hip-hop land
song3-86	positive	Kick it live with a box inside my hand
song3-87	positive	I'm the leader of the show, keepin' you on the go
song3-88	positive	But I know I can't live without my radio
song3-89	positive	Farmers Boulevard, yeah, you know that's where me and E hang out, cool
song3-90	positive	out, you know what I'm sayin' That's where the crib's at.
song4-01	negative	We're talking away
song4-02	negative	I don't know what
song4-03	negative	I'm to say I'll say it anyway
song4-04	negative	Today's another day to find you
song4-05	negative	Shying away
song4-06	positive	I'll be coming for your love, OK
song4-07	positive	Take on me, take me on
song4-08	positive	I'll be gone
song4-09	positive	In a day or two
song4-10	negative	So needless to say
song4-11	negative	I'm odds and ends
song4-12	negative	But that's me stumbling away
song4-13	negative	Slowly learning that life is OK.
song4-14	negative	Say after me
song4-15	negative	It's no better to be safe than sorry
song4-16	positive	Take on me, take me on
song4-17	positive	I'll be gone
song4-18	positive	In a day or two
song4-19	positive	Oh the things that you say
song4-20	positive	Is it life or
song4-21	negative	Just a play my worries away
song4-22	negative	You're all the things I've got to
song4-23	negative	remember
song4-24	negative	You're shying away
song4-25	positive	I'll be coming for you anyway
song4-26	positive	Take on me, take me on
song4-27	positive	I'll be gone
song4-28	positive	In a day or two
song5-01	negative	I got my head checked
song5-02	negative	By a jumbo jet
song5-03	negative	It wasn't easy
song5-04	negative	But nothing is, no
song5-05	positive	Whoo hoo!
song5-06	positive	Well I feel heavy metal
song5-07	positive	Whoo hoo!
song5-08	positive	And I'm pins and I'm needles
song5-09	positive	Whoo hoo!
song5-10	negative	Well I lie and I'm easy
song5-11	negative	All of the time and I'm never sure why I need you
song5-12	positive	Pleased to meet ya
song5-13	negative	I got my head done
song5-14	negative	When I was young
song5-15	negative	It's not my problem
song5-16	negative	It's not my problem
song5-17	positive	Whoo hoo!
song5-18	positive	Well I feel heavy metal
song5-19	positive	Whoo hoo!
song5-20	positive	And I'm pins and I'm needles
song5-21	positive	Whoo hoo!
song5-22	negative	Well I lie and I'm easy
song5-23	negative	All of the time and I'm never sure why I need you
song5-24	positive	Pleased to meet ya
song5-25	positive	Yeah, yeah
song5-26	positive	Yeah, yeah
song5-27	positive	Yeah, yeah
song5-28	positive	Oh, yeah
song6-01	positive	Back in black
song6-02	positive	I hit the sack
song6-03	positive	I've been too long I'm glad to be back
song6-04	positive	Yes I'm, let loose
song6-05	positive	From the noose
song6-06	positive	That's kept me hanging about
song6-07	positive	I keep looking at the sky
song6-08	positive	Cause it's gettin' me high
song6-09	positive	Forget the hearse 'cause I'll never die
song6-10	positive	I got nine lives
song6-11	positive	Cat's eyes
song6-12	positive	Usin' every one of them and running wild
song6-13	positive	Cause I'm back
song6-14	positive	Yes, I'm back
song6-15	positive	Well, I'm back
song6-16	positive	Yes, I'm back
song6-17	positive	Well, I'm back, back
song6-18	positive	(Well) I'm back in black
song6-19	positive	Yes, I'm back in black
song6-20	positive	Back in the back
song6-21	positive	Of a Cadillac
song6-22	positive	Number one with a bullet, I'm a power pack
song6-23	positive	Yes, I'm in a bang
song6-24	positive	With a gang
song6-25	positive	They've got to catch me if they want me to hang
song6-26	positive	Cause I'm back on the track
song6-27	positive	And I'm leadin' the pack
song6-28	positive	Nobody's gonna get me on another rap
song6-29	positive	So look at me now
song6-30	positive	I'm just makin' my play
song6-31	positive	Don't try to push your luck, just get out of my way
song6-32	positive	Cause I'm back
song6-33	positive	Yes, I'm back
song6-34	positive	Well, I'm back
song6-35	positive	Yes, I'm back
song6-36	positive	Well, I'm back, back
song6-37	positive	(Well) I'm back in black
song6-38	positive	Yes, I'm back in black
song6-39	positive	Well, I'm back, Yes I'm back
song6-40	positive	Well, I'm back, Yes I'm back
song6-41	positive	Well, I'm back, back
song6-42	positive	Well I'm back in black
song6-43	positive	Yes I'm back in black
song6-44	positive	Hooo yeah
song6-45	positive	Ohh yeah
song6-46	positive	Yes I am
song6-47	positive	Oooh yeah, yeah Oh yeah
song6-48	positive	Back in now
song6-49	positive	Well I'm back, I'm back
song6-50	positive	Back, I'm back
song6-51	positive	Back, I'm back
song6-52	positive	Back, I'm back
song6-53	positive	Back, I'm back
song6-54	positive	Back
song6-55	positive	Back in black
song6-56	positive	Yes I'm back in black
song6-57	positive	Outta sight
song7-01	neutral	She Was More Like A Beauty Queen From A Movie Scene
song7-02	neutral	I Said Don't Mind, But What Do You Mean I Am The One
song7-03	neutral	Who Will Dance On The Floor In The Round
song7-04	neutral	She Said I Am The One Who Will Dance On The Floor In The Round
song7-05	neutral	She Told Me Her Name Was Billie Jean, As She Caused A Scene
song7-06	neutral	Then Every Head Turned With Eyes That Dreamed Of Being The One
song7-07	neutral	Who Will Dance On The Floor In The Round
song7-08	negative	People Always Told Me Be Careful Of What You Do
song7-09	negative	And Don't Go Around Breaking Young Girls' Hearts
song7-10	negative	And Mother Always Told Me Be Careful Of Who You Love
song7-11	negative	And Be Careful Of What You Do 'Cause The Lie Becomes The Truth
song7-12	negative	Billie Jean Is Not My Lover
song7-13	negative	She's Just A Girl Who Claims That I Am The One
song7-14	negative	But The Kid Is Not My Son
song7-15	negative	She Says I Am The One, But The Kid Is Not My Son
song7-16	negative	For Forty Days And Forty Nights
song7-17	negative	The Law Was On Her Side
song7-18	negative	But Who Can Stand When She's In Demand
song7-19	negative	Her Schemes And Plans
song7-20	positive	Cause We Danced On The Floor In The Round
song7-21	negative	So Take My Strong Advice, Just Remember To Always Think Twice
song7-22	negative	(Do Think Twice)
song7-23	negative	She Told My Baby That's A Threat
song7-24	negative	As She Looked At Me
song7-25	negative	Then Showed A Photo Of A Baby Cries
song7-26	neutral	Eyes Would Like Mine
song7-27	neutral	Go On Dance On The Floor In The Round, Baby
song7-28	negative	People Always Told Me Be Careful Of What You Do
song7-29	negative	And Don't Go Around Breaking Young Girls' Hearts
song7-30	positive	She Came And Stood Right By Me
song7-31	positive	Then The Smell Of Sweet Perfume
song7-32	neutral	This Happened Much Too Soon
song7-33	neutral	She Called Me To Her Room
song7-34	negative	Billie Jean Is Not My Lover
song7-35	negative	She's Just A Girl Who Claims That I Am The One
song7-36	negative	But The Kid Is Not My Son
song7-37	negative	Billie Jean Is Not My Lover
song7-38	negative	She's Just A Girl Who Claims That I Am The One
song7-39	negative	But The Kid Is Not My Son
song7-40	negative	She Says I Am The One, But The Kid Is Not My Son
song7-41	negative	She Says I Am The One, But The Kid Is Not My Son
song7-42	negative	Billie Jean Is Not My Lover
song7-43	negative	She's Just A Girl Who Claims That I Am The One
song7-44	negative	But The Kid Is Not My Son
song7-45	negative	She Says I Am The One, But The Kid Is Not My Son
song7-46	negative	She Says I Am The One, She Says He Is My Son
song7-47	negative	She Says I Am The One
song7-48	negative	Billie Jean Is Not My Lover
song7-49	negative	Billie Jean Is Not My Lover
song7-50	negative	Billie Jean Is Not My Lover
song7-51	negative	Billie Jean Is Not My Lover
song7-52	negative	Billie Jean Is Not My Lover
song7-53	negative	Billie Jean Is Not My Lover
song8-01	neutral	Aah
song8-02	negative	Buddy you're a boy make a big noise
song8-03	negative	Playin' in the street gonna be a big man some day
song8-04	negative	You got mud on yo' face
song8-05	negative	You big disgrace
song8-06	negative	Kickin' your can all over the place
song8-07	positive	Singin'
song8-08	positive	We will we will rock you
song8-09	positive	We will we will rock you
song8-10	negative	Buddy you're a young man hard man
song8-11	negative	Shouting in the street gonna take on the world some day
song8-12	negative	You got blood on yo' face
song8-13	negative	You big disgrace
song8-14	negative	Wavin' your banner all over the place
song8-15	positive	We will we will rock you
song8-16	positive	Sing it
song8-17	positive	We will we will rock you
song8-18	negative	Buddy you're an old man poor man
song8-19	negative	Pleadin' with your eyes gonna make
song8-20	negative	You some peace some day
song8-21	negative	You got mud on your face
song8-22	negative	Big disgrace
song8-23	negative	Somebody betta put you back into your place
song8-24	positive	We will we will rock you
song8-25	positive	Sing it
song8-26	positive	We will we will rock you
song8-27	neutral	Everybody
song8-28	positive	We will we will rock you
song8-29	positive	We will we will rock you
song8-30	neutral	Alright
song9-01	positive	She's got a smile that it seems to me
song9-02	positive	Reminds me of childhood memories
song9-03	positive	Where everything
song9-04	positive	Was as fresh as the bright blue sky
song9-05	positive	Now and then when I see her face
song9-06	positive	She takes me away to that
song9-07	positive	special place
song9-08	negative	And if I stared too long
song9-09	negative	I'd probably break down and cry
song9-10	positive	Sweet child o' mine
song9-11	positive	Sweet love of mine
song9-12	positive	She's got eyes of the bluest skies
song9-13	negative	As if they thought of rain
song9-14	negative	I hate to look into those eyes
song9-15	negative	And see an ounce of pain
song9-16	positive	Her hair reminds me
song9-17	positive	of a warm safe place
song9-18	negative	Where as a child I'd hide
song9-19	negative	And pray for the thunder
song9-20	negative	And the rain
song9-21	negative	To quietly pass me by
song9-22	positive	Sweet child o' mine
song9-23	positive	Sweet love of mine
song9-24	positive	Where do we go
song9-25	positive	Where do we go now
song9-26	positive	Where do we go
song9-27	positive	Sweet child o' mine
song10-01	neutral	YOU
song10-02	neutral	YOU HAVE
song10-03	neutral	YOU GOT ME
song10-04	neutral	YOU ASKED ME
song10-05	negative	YOU ASKED ME AND I DID NOT SAY ANYTHING
song10-06	negative	WILL YOU UNTIL DEATH DO YOU PART
song10-07	negative	BE FAITHFUL TO HER FOR ALL DAYS
song10-08	negative	NO
song10-09	negative	DO YOU WANT, UNTIL DEATH SEPARATES YOU
song10-10	negative	THEY LOVE EVEN IN BAD DAYS
song10-11	negative	NO
